id,name,dateStart,dateEnd,type,questionQty
4728,Кубок соседней галактики. Эпсилон,2018-04-20T14:00:00+03:00,2018-04-24T14:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 15, '2': 15, '3': 15}"
4729,Леденец,2018-02-02T19:00:00+03:00,2018-02-06T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4730,Онлайн-турнир Первенства Сибири,2018-02-25T10:00:00+03:00,2018-02-25T13:00:00+03:00,"{'id': 6, 'name': 'Строго синхронный'}","{'1': 15, '2': 15, '3': 15}"
4731,Девятый круг,2018-12-14T19:00:00+03:00,2018-12-18T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4732,Мемориал Виталия Маруды,2018-10-19T19:00:00+03:00,2018-10-23T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 13, '2': 13, '3': 13}"
4733,Кавалькада волхвов,2018-01-05T06:00:00+03:00,2018-01-05T16:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15, '7': 15, '8': 15, '9': 15, '10': 15, '11': 15, '12': 15, '13': 15, '14': 15, '15': 15, '16': 15, '17': 15, '18': 15, '19': 15, '20': 15, '21': 15, '22': 15}"
4734,Кавалькада волхвов - Ершов-бинго,2018-01-06T08:00:00+03:00,2018-01-06T10:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 13, '2': 13}"
4735,ОЧВР,2017-11-17T19:00:00+03:00,2017-12-26T19:00:00+03:00,"{'id': 5, 'name': 'Общий зачёт'}","{'1': 36, '2': 36, '3': 36}"
4736,Открытый кубок МГУ,2018-02-17T16:45:00+03:00,2018-02-17T21:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12}"
4737,Открытый кубок Дальнего Востока,2018-04-07T03:00:00+03:00,2018-04-08T12:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15}"
4738,Открытый кубок СПбГУ,2018-02-25T11:00:00+03:00,2018-02-25T18:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15}"
4739,Кубок Физтеха,2018-03-03T12:00:00+03:00,2018-03-04T17:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15}"
4740,23+. Онлайн,2018-02-03T12:40:00+03:00,2018-02-03T15:15:00+03:00,"{'id': 6, 'name': 'Строго синхронный'}","{'1': 12, '2': 12, '3': 12}"
4741,С берегов Оби,2018-03-02T00:00:00+03:00,2018-03-06T00:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4743,Открытый кубок Зеленограда,2018-02-11T13:00:00+03:00,2018-02-11T18:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15}"
4744,Синхронный турнир ЛУК. Этап 2,2018-01-26T14:00:00+03:00,2018-01-29T23:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 15, '2': 15, '3': 15}"
4745,Чемпионат Узбекистана,2018-04-21T11:00:00+03:00,2018-04-22T17:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15, '6': 15}"
4746,U-Mind Games,2018-03-09T14:00:00+03:00,2018-03-10T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12, '6': 12}"
4747,Синхрон белого мишки,2018-05-31T00:01:00+03:00,2018-06-03T18:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4748,Студенческие игры БГУ,2018-03-10T14:00:00+03:00,2018-03-11T17:30:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15}"
4749,Гран-при им. Г.В. Плеханова,2018-03-03T13:00:00+03:00,2018-03-03T19:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12}"
4750,Серия Premier. Седьмая печать,2018-02-16T19:00:00+03:00,2018-02-20T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4751,Серия Premier. Мартовские иды,2018-03-09T19:00:00+03:00,2018-03-13T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4752,Олимпиада Приволжского федерального округа. Финал,2018-03-23T11:00:00+03:00,2018-03-24T16:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12}"
4753,Открытый кубок 20-летия КВЭФ МГУ,2018-04-07T12:00:00+03:00,2018-04-07T16:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
4759,Чемпионат Ростовской области (общий зачёт),2018-01-19T19:00:00+03:00,2018-03-13T19:00:00+03:00,"{'id': 5, 'name': 'Общий зачёт'}","{'1': 36, '2': 36, '3': 36}"
4760,Весна в ЛЭТИ,2018-03-10T13:00:00+03:00,2018-03-11T18:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15, '5': 15}"
4761,Умлаут speсial: Сова в пабе,2018-03-29T19:00:00+03:00,2018-04-02T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 14, '2': 14, '3': 14}"
4762,Мартовские этюды,2018-03-02T14:00:00+03:00,2018-03-06T14:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4763,Лошадь Пржевальского,2018-09-07T19:00:00+03:00,2018-09-11T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4764,Кубок Америки,2018-03-16T20:00:00+03:00,2018-03-20T20:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4765,Синхрон северных стран. Midsommar,2018-06-29T19:00:00+03:00,2018-07-03T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4766,Регулярный чемпионат МГУ. Третий игровой день,2018-02-12T19:00:00+03:00,2018-02-12T22:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12}"
4767,Зачёт двух столиц,2018-02-25T11:00:00+03:00,2018-02-25T17:00:00+03:00,"{'id': 5, 'name': 'Общий зачёт'}","{'1': 60, '2': 60}"
4768,Чемпионат Литвы,2018-04-14T12:00:00+03:00,2018-04-14T18:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15, '4': 15}"
4769,Первенство Сибири. Пролог,2018-02-23T12:00:00+03:00,2018-02-23T16:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
4770,Игры доброй воли,2018-02-24T12:00:00+03:00,2018-02-28T12:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 11, '2': 11, '3': 11, '4': 11}"
4771,Гульні добрай Волі,2018-02-25T12:00:00+03:00,2018-02-25T16:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 11, '2': 11, '3': 11, '4': 11, '5': 11}"
4772,Синхрон северных стран. Зимний выпуск,2019-01-05T19:00:00+03:00,2019-01-09T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4773,sin(CIIRON),2018-03-09T19:00:00+03:00,2018-03-13T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4774,Синхрон кубка Физтеха,2018-03-09T19:00:00+03:00,2018-03-13T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4775,Шаровая молния - 2,2018-02-10T11:00:00+03:00,2018-02-14T10:59:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4776,Синхронный Кубок Зеленограда,2018-02-17T00:00:00+03:00,2018-02-20T23:59:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12, '4': 12}"
4777,Финал ОЧВР,2018-04-07T12:00:00+03:00,2018-04-08T18:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12}"
4778,Кубок Закарпатья,2018-05-18T14:00:00+03:00,2018-05-22T14:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4779,Студенческий кубок Иркутска,2018-02-17T07:00:00+03:00,2018-02-17T10:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 15, '2': 15, '3': 15}"
4780,Чемпионат Грузии,2018-07-01T12:00:00+03:00,2018-07-01T19:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12, '6': 12}"
4781,Занавес неведения,2018-07-27T19:00:00+03:00,2018-07-31T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4782,Синхронный кубок МГУ,2018-02-23T19:00:00+03:00,2018-02-27T19:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4783,Ревельская весна,2018-05-19T14:00:00+03:00,2018-05-20T14:00:00+03:00,"{'id': 2, 'name': 'Обычный'}","{'1': 12, '2': 12, '3': 12, '4': 12, '5': 12}"
4784,PostModern Talking,2018-06-22T18:00:00+03:00,2018-06-26T18:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4785,3D Max,2018-06-08T18:00:00+03:00,2018-06-12T18:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
4786,Интеллектуальный марафон,2018-03-23T18:00:00+03:00,2018-03-27T18:00:00+03:00,"{'id': 3, 'name': 'Синхрон'}","{'1': 12, '2': 12, '3': 12}"
